"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Tyler Badie","Broncos","8","-0.02","-0.003","-0.26","-0.033","-0.25","-0.03","37.5%","-0.0","-0.0","0.0%","0.0%"
"[object Object]","2025","Justice Hill","Ravens","18","-0.04","-0.002","-0.68","-0.038","-0.33","-0.02","38.9%","-0.1","-0.0","5.6%","16.7%"
"[object Object]","2025","Rashid Shaheed","2 teams","9","-0.31","-0.035","-0.61","-0.068","0.25","0.03","33.3%","-0.4","-0.0","11.1%","0.0%"
"[object Object]","2025","Tre Tucker","Raiders","11","-0.37","-0.034","-0.75","-0.068","1.27","0.12","72.7%","-0.4","-0.0","0.0%","9.1%"
"[object Object]","2025","Joe Milton III","Cowboys","5","-0.39","-0.077","-0.88","-0.175","0.16","0.03","60.0%","-0.7","-0.0","20.0%","20.0%"
"[object Object]","2025","A.J. Dillon","Eagles","12","-0.49","-0.041","-0.89","-0.074","-1.66","-0.14","41.7%","-0.5","-0.0","16.7%","16.7%"
"[object Object]","2025","Rasheen Ali","Ravens","7","-0.52","-0.075","-0.78","-0.111","-0.59","-0.08","42.9%","-0.6","-0.0","14.3%","0.0%"
"[object Object]","2025","Xavier Worthy","Chiefs","11","-0.55","-0.050","-0.90","-0.082","3.70","0.34","54.5%","-0.6","-0.0","27.3%","9.1%"
"[object Object]","2025","Deebo Samuel","Commanders","17","-0.55","-0.033","-1.17","-0.069","3.02","0.18","47.1%","-0.7","-0.0","17.6%","17.6%"
"[object Object]","2025","Kene Nwangwu","Jets","13","-0.78","-0.060","-1.29","-0.099","-2.14","-0.16","46.2%","-0.9","-0.0","23.1%","23.1%"
"[object Object]","2025","James Conner","Cardinals","32","-0.79","-0.025","-1.96","-0.061","-2.62","-0.08","37.5%","-0.9","-0.0","6.3%","12.5%"
